[DEBUG] img mean: 61.531314086914065, max: 255
[DEBUG] img mean: 62.15265121459961, max: 255
[DEBUG] img mean: 62.359876251220705, max: 255
[DEBUG] img mean: 61.63165054321289, max: 255
[DEBUG] img mean: 64.33060073852539, max: 255
[DEBUG] img mean: 64.43138275146484, max: 255
[DEBUG] img mean: 71.58708419799805, max: 255
[DEBUG] img mean: 64.98422775268554, max: 255
[DEBUG] img mean: 64.85602111816407, max: 255
[DEBUG] img mean: 65.03008575439453, max: 255
[DEBUG] ROI MEAN :0.7453531452253753 under ring_threshold: 0.75 
[DEBUG] img mean: 64.91715087890626, max: 255
[DEBUG] img mean: 60.82101135253906, max: 255
[DEBUG] img mean: 60.96693878173828, max: 255
[DEBUG] img mean: 62.28950653076172, max: 255
[DEBUG] img mean: 61.90244750976562, max: 255
[DEBUG] img mean: 61.931391906738284, max: 255
[DEBUG] img mean: 61.89645690917969, max: 255
[DEBUG] img mean: 62.304071044921876, max: 255
[DEBUG] img mean: 62.68630142211914, max: 255
[DEBUG] img mean: 61.77609786987305, max: 255
[DEBUG] img mean: 63.851322174072266, max: 255
[DEBUG] img mean: 63.769438934326175, max: 255
[DEBUG] img mean: 61.45366516113281, max: 255
[DEBUG] img mean: 63.466064453125, max: 255
[DEBUG] img mean: 61.38815460205078, max: 255
[DEBUG] img mean: 63.47074890136719, max: 255
[DEBUG] img mean: 63.559590911865236, max: 255
[DEBUG] img mean: 38.034671783447266, max: 255
[DEBUG] img mean: 37.28988265991211, max: 255
[DEBUG] img mean: 38.66265106201172, max: 255
[DEBUG] img mean: 32.78599166870117, max: 255
[DEBUG] img mean: 38.55202865600586, max: 255
[DEBUG] img mean: 39.352500915527344, max: 255
[DEBUG] img mean: 40.46381759643555, max: 255
[DEBUG] img mean: 39.43626403808594, max: 255
[DEBUG] img mean: 39.46653366088867, max: 255
[DEBUG] img mean: 31.492412567138672, max: 255
[DEBUG] img mean: 32.2409553527832, max: 255
[DEBUG] img mean: 38.585914611816406, max: 255
[DEBUG] img mean: 37.25770950317383, max: 255
[DEBUG] img mean: 39.46812057495117, max: 255
[DEBUG] img mean: 39.629512786865234, max: 255
[DEBUG] img mean: 40.41810607910156, max: 255
[DEBUG] img mean: 40.43115234375, max: 255
[DEBUG] img mean: 39.41522216796875, max: 255
[DEBUG] img mean: 39.411319732666016, max: 255
[DEBUG] img mean: 39.49149703979492, max: 255
[DEBUG] img mean: 40.48057556152344, max: 255
[DEBUG] img mean: 39.35126495361328, max: 255
[DEBUG] img mean: 39.432029724121094, max: 255
[DEBUG] img mean: 39.17716979980469, max: 255
[DEBUG] img mean: 39.35300827026367, max: 255
[DEBUG] img mean: 39.40178680419922, max: 255
[DEBUG] img mean: 39.31824493408203, max: 255
[DEBUG] img mean: 39.400455474853516, max: 255
[DEBUG] img mean: 39.29744338989258, max: 255
[DEBUG] img mean: 39.34647750854492, max: 255
[DEBUG] img mean: 40.45018005371094, max: 255
[DEBUG] img mean: 40.41379165649414, max: 255
[DEBUG] img mean: 39.41782760620117, max: 255
[DEBUG] img mean: 40.4926872253418, max: 255
[DEBUG] img mean: 37.209495544433594, max: 255
[DEBUG] img mean: 40.446712493896484, max: 255
[DEBUG] img mean: 37.9681510925293, max: 255
[DEBUG] img mean: 39.47911834716797, max: 255
[DEBUG] img mean: 39.3698844909668, max: 255
[DEBUG] img mean: 32.19066619873047, max: 255
[DEBUG] img mean: 40.47678756713867, max: 255
[DEBUG] img mean: 37.24298095703125, max: 255
[DEBUG] img mean: 37.98610305786133, max: 255
[DEBUG] img mean: 39.44598388671875, max: 255
[DEBUG] img mean: 40.42394256591797, max: 255
[DEBUG] img mean: 39.40310287475586, max: 255
[DEBUG] img mean: 40.503631591796875, max: 255
[DEBUG] img mean: 39.4228401184082, max: 255
[DEBUG] img mean: 39.47064208984375, max: 255
[DEBUG] img mean: 38.514007568359375, max: 255
[DEBUG] img mean: 40.48102569580078, max: 255
[DEBUG] img mean: 39.07975387573242, max: 255
[DEBUG] img mean: 39.347232818603516, max: 255
[DEBUG] img mean: 39.52116012573242, max: 255
[DEBUG] img mean: 39.40872573852539, max: 255
[DEBUG] img mean: 40.462806701660156, max: 255
[DEBUG] img mean: 33.521728515625, max: 255
[DEBUG] img mean: 40.371803283691406, max: 255
[DEBUG] img mean: 39.41157150268555, max: 255
[DEBUG] img mean: 38.53922653198242, max: 255
[DEBUG] img mean: 39.27867126464844, max: 255
[DEBUG] img mean: 40.154762268066406, max: 255
[DEBUG] img mean: 39.376407623291016, max: 255
[DEBUG] img mean: 39.59043884277344, max: 255
[DEBUG] img mean: 40.392337799072266, max: 255
[DEBUG] img mean: 40.271324157714844, max: 255
[DEBUG] img mean: 38.36061096191406, max: 255
[DEBUG] img mean: 38.96476364135742, max: 255
[DEBUG] img mean: 33.89604187011719, max: 255
[DEBUG] img mean: 37.31285858154297, max: 255
[DEBUG] img mean: 31.0911865234375, max: 255
[DEBUG] img mean: 38.590824127197266, max: 255
[DEBUG] img mean: 31.684791564941406, max: 255
[DEBUG] img mean: 32.368934631347656, max: 255
[DEBUG] img mean: 37.92815017700195, max: 255
[DEBUG] img mean: 37.67559814453125, max: 255
[DEBUG] img mean: 38.96418762207031, max: 255
[DEBUG] img mean: 38.308921813964844, max: 255
[DEBUG] img mean: 37.68112564086914, max: 255
[DEBUG] img mean: 38.95175552368164, max: 255
[DEBUG] img mean: 38.28127670288086, max: 255
[DEBUG] img mean: 32.57468795776367, max: 250
[DEBUG] img mean: 33.21615982055664, max: 250
[DEBUG] img mean: 38.721961975097656, max: 255
[DEBUG] img mean: 32.85734939575195, max: 255
[DEBUG] ROI MEAN :0.9755413878197763 under ring_threshold: 0.8 
[DEBUG] img mean: 32.78163528442383, max: 255
[DEBUG] img mean: 31.223609924316406, max: 255
[DEBUG] img mean: 31.807998657226562, max: 255
[DEBUG] img mean: 31.969696044921875, max: 255
[DEBUG] img mean: 38.8411750793457, max: 255
[DEBUG] img mean: 37.59844207763672, max: 255
[DEBUG] img mean: 32.66337585449219, max: 255
[DEBUG] img mean: 31.424633026123047, max: 255
[DEBUG] img mean: 38.16643142700195, max: 255
[DEBUG] img mean: 32.32298278808594, max: 255
[DEBUG] img mean: 31.728878021240234, max: 255
[DEBUG] img mean: 31.084579467773438, max: 255
[DEBUG] img mean: 38.566341400146484, max: 255
[DEBUG] img mean: 37.320858001708984, max: 255
[DEBUG] img mean: 37.981224060058594, max: 255
[DEBUG] img mean: 38.174652099609375, max: 255
[DEBUG] img mean: 38.753665924072266, max: 255
[DEBUG] img mean: 37.49617004394531, max: 255
[DEBUG] img mean: 38.33613204956055, max: 255
[DEBUG] img mean: 37.67287826538086, max: 255
[DEBUG] img mean: 38.92817306518555, max: 255
[DEBUG] img mean: 37.730438232421875, max: 255
[DEBUG] img mean: 38.98358154296875, max: 255
[DEBUG] img mean: 23.493285123966942, max: 73
[DEBUG] img mean: 16.12051652892562, max: 34
[DEBUG] img mean: 28.218553719008263, max: 215
[DEBUG] img mean: 16.03293388429752, max: 34
[DEBUG] img mean: 23.644710743801653, max: 72
[DEBUG] img mean: 37.79425619834711, max: 255
[DEBUG] img mean: 37.74845041322314, max: 255
[DEBUG] img mean: 23.65173553719008, max: 73
[DEBUG] img mean: 16.098388429752067, max: 34
[DEBUG] img mean: 16.074380165289256, max: 34
[DEBUG] img mean: 23.601322314049586, max: 74
[DEBUG] img mean: 37.724462809917355, max: 255
[DEBUG] img mean: 16.170413223140496, max: 34
[DEBUG] img mean: 37.831735537190085, max: 255
[DEBUG] img mean: 23.730661157024795, max: 74
[DEBUG] img mean: 23.57396694214876, max: 73
[DEBUG] img mean: 16.061797520661155, max: 35
[DEBUG] img mean: 37.71785123966942, max: 255
[DEBUG] img mean: 64.25322314049586, max: 255
[DEBUG] img mean: 71.75070247933884, max: 167
[DEBUG] img mean: 75.19190082644629, max: 132
[DEBUG] img mean: 65.31933884297521, max: 255
[DEBUG] img mean: 73.53035123966941, max: 168
[DEBUG] img mean: 68.00376033057852, max: 255
[DEBUG] img mean: 73.53473140495868, max: 167
[DEBUG] img mean: 78.30179752066115, max: 135
[DEBUG] img mean: 78.28293388429752, max: 137
[DEBUG] img mean: 65.82880165289257, max: 255
[DEBUG] img mean: 78.28520661157025, max: 137
[DEBUG] img mean: 74.70237603305785, max: 255
[DEBUG] img mean: 73.48004132231405, max: 168
[DEBUG] img mean: 78.31729338842975, max: 136
[DEBUG] img mean: 74.74528925619835, max: 255
[DEBUG] img mean: 73.48495867768595, max: 167
[DEBUG] img mean: 73.3953305785124, max: 167
[DEBUG] img mean: 74.5845041322314, max: 255
[DEBUG] img mean: 78.21367768595042, max: 136
[DEBUG] img mean: 73.25287190082645, max: 168
[DEBUG] img mean: 74.54371900826446, max: 255
[DEBUG] img mean: 78.07297520661157, max: 135
[DEBUG] img mean: 73.04404958677686, max: 166
[DEBUG] img mean: 77.86382231404959, max: 136
[DEBUG] img mean: 74.37136363636364, max: 255
[DEBUG] img mean: 77.81095041322314, max: 136
[DEBUG] img mean: 74.38890495867768, max: 255
[DEBUG] img mean: 72.97419421487604, max: 165
[DEBUG] img mean: 77.77611570247934, max: 135
[DEBUG] img mean: 72.90811983471075, max: 166
[DEBUG] img mean: 71.46305785123967, max: 162
[DEBUG] img mean: 71.4551652892562, max: 162
[DEBUG] img mean: 64.33876033057851, max: 255
[DEBUG] img mean: 76.36092975206611, max: 132
[DEBUG] img mean: 75.5392561983471, max: 131
[DEBUG] img mean: 70.49628099173553, max: 160
[DEBUG] img mean: 70.47737603305785, max: 158
[DEBUG] img mean: 63.779194214876036, max: 255
[DEBUG] img mean: 70.56400826446281, max: 157
[DEBUG] img mean: 66.28772727272727, max: 255
[DEBUG] img mean: 75.63369834710744, max: 131
[DEBUG] img mean: 63.70345041322314, max: 255
[DEBUG] img mean: 75.58597107438017, max: 132
[DEBUG] img mean: 70.54640495867768, max: 159
[DEBUG] img mean: 75.83477272727272, max: 132
[DEBUG] img mean: 73.22442148760331, max: 255
[DEBUG] img mean: 70.73911157024793, max: 158
[DEBUG] img mean: 73.2879958677686, max: 255
[DEBUG] img mean: 70.82921487603306, max: 160
[DEBUG] img mean: 75.94061983471074, max: 132
[DEBUG] img mean: 73.18030991735537, max: 255
[DEBUG] img mean: 70.70303719008264, max: 157
[DEBUG] img mean: 75.82173553719008, max: 131
[DEBUG] img mean: 70.94229338842975, max: 158
[DEBUG] img mean: 76.03462809917356, max: 132
[DEBUG] img mean: 73.4602479338843, max: 255
[DEBUG] img mean: 76.04367768595041, max: 131
[DEBUG] img mean: 70.9196694214876, max: 157
[DEBUG] img mean: 73.35002066115702, max: 255
[DEBUG] img mean: 73.39504132231404, max: 255
[DEBUG] img mean: 70.99551652892562, max: 158
[DEBUG] img mean: 76.07739669421487, max: 132
[DEBUG] img mean: 71.11210743801652, max: 159
[DEBUG] img mean: 73.78605371900827, max: 255
[DEBUG] img mean: 76.18006198347108, max: 132
[DEBUG] img mean: 73.43212809917355, max: 255
[DEBUG] img mean: 71.01638429752066, max: 158
[DEBUG] img mean: 76.09219008264463, max: 131
[DEBUG] img mean: 71.40314049586777, max: 159
[DEBUG] img mean: 76.33609504132231, max: 132
[DEBUG] img mean: 73.65574380165289, max: 255
[DEBUG] img mean: 71.11904958677685, max: 161
[DEBUG] img mean: 76.05002066115702, max: 131
[DEBUG] img mean: 73.39489669421488, max: 255
[DEBUG] img mean: 76.10254132231405, max: 132
[DEBUG] img mean: 71.07997933884297, max: 158
[DEBUG] img mean: 73.40130165289256, max: 255
[DEBUG] img mean: 76.59328512396694, max: 132
[DEBUG] img mean: 76.60394628099174, max: 133
[DEBUG] img mean: 71.63297520661158, max: 159
[DEBUG] img mean: 66.83917355371901, max: 255
[DEBUG] img mean: 64.34415289256198, max: 255
[DEBUG] img mean: 71.59212809917355, max: 161
[DEBUG] img mean: 72.28971074380165, max: 161
[DEBUG] img mean: 77.29518595041323, max: 134
[DEBUG] img mean: 64.90037190082644, max: 255
[DEBUG] img mean: 67.28202479338843, max: 255
[DEBUG] img mean: 77.22762396694215, max: 133
[DEBUG] img mean: 72.37200413223141, max: 163
[DEBUG] img mean: 67.45607438016529, max: 255
[DEBUG] img mean: 77.5334917355372, max: 134
[DEBUG] img mean: 72.66115702479338, max: 162
[DEBUG] img mean: 72.61923553719008, max: 163
[DEBUG] img mean: 77.55111570247934, max: 134
[DEBUG] img mean: 65.03390495867768, max: 255
[DEBUG] img mean: 78.39630165289256, max: 137
[DEBUG] img mean: 78.36698347107438, max: 135
[DEBUG] img mean: 65.81438016528925, max: 255
[DEBUG] img mean: 73.46469008264462, max: 164
[DEBUG] img mean: 73.47018595041322, max: 164
[DEBUG] img mean: 68.31429752066116, max: 255
[DEBUG] img mean: 73.5651652892562, max: 165
[DEBUG] img mean: 78.49342975206612, max: 137
[DEBUG] img mean: 75.07913223140496, max: 255
[DEBUG] img mean: 75.17301652892561, max: 255
[DEBUG] img mean: 73.60126033057851, max: 165
[DEBUG] img mean: 75.06568181818182, max: 255
[DEBUG] img mean: 78.65679752066116, max: 137
[DEBUG] img mean: 73.75921487603306, max: 166
[DEBUG] img mean: 78.51402892561984, max: 135
[DEBUG] img mean: 74.95175619834711, max: 255
[DEBUG] img mean: 78.4670867768595, max: 137
[DEBUG] img mean: 73.54359504132232, max: 164
[DEBUG] img mean: 73.5597520661157, max: 166
[DEBUG] img mean: 78.47196280991736, max: 136
[DEBUG] img mean: 74.99574380165289, max: 255
[DEBUG] img mean: 75.03995867768595, max: 255
[DEBUG] img mean: 73.58708677685951, max: 164
[DEBUG] img mean: 78.49431818181819, max: 136
